Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Teach,5,3,2,1,,
Jimmy,5,4,1,2,,
Noise,5,2,3,1,Middle English,
Trade,5,3,2,1,Middle English,
Woods,5,3,2,1,,
Slope,5,3,2,1,,
Agree,5,2,3,2,Old French,
Tiara,5,2,3,3,Italian,
Drain,5,3,2,1,Middle English,
Kitty,5,4,1,2,,
Tango,5,3,2,2,Spanish,
Nanny,5,4,1,2,,
Times,5,3,2,1,,
Shore,5,3,2,1,Middle English,
Tweed,5,3,2,1,Scots,
Clark,5,4,1,1,,
Queue,5,1,4,2,Anglo Norman,
Thief,5,3,2,1,Old English,
Hippo,5,3,2,2,,
Vodka,5,3,2,2,Slavic,
Maker,5,3,2,2,,
Empty,5,4,1,2,Middle English,
Audio,5,1,4,3,Latin,
Butch,5,4,1,1,,
Punch,5,4,1,1,Middle English,
Snack,5,4,1,1,English,
Fudge,5,3,2,1,,
Crate,5,3,2,1,Dutch,
Silva,5,3,2,2,Latin,
Stuck,5,4,1,1,,
Ether,5,3,2,2,Old French,
Micro,5,3,2,2,,
Abuse,5,2,3,2,Middle English,
Groom,5,3,2,1,Middle English,
Ebony,5,3,2,3,Middle English,
Coral,5,3,2,2,Old French,
Yacht,5,4,1,1,Dutch,
Waste,5,3,2,1,Middle English,
Shape,5,3,2,1,Middle English,
Ranch,5,4,1,1,Spanish,
Abbot,5,3,2,2,Middle English,
Delta,5,3,2,2,Ancient Greek,
Opera,5,2,3,3,Italian,
Marry,5,4,1,2,Middle English,
Irate,5,2,3,2,Latin,
Dante,5,3,2,2,,
Demon,5,3,2,2,Latin,
Moist,5,3,2,1,Middle English,
Sweat,5,3,2,1,Old English,
Tasty,5,4,1,2,,
Nacho,5,3,2,2,,
Pilot,5,3,2,2,Middle French,
Stain,5,3,2,1,Middle English,
Latin,5,3,2,2,Latin,
Crane,5,3,2,1,Old English,
Works,5,4,1,1,,
Jones,5,3,2,1,,
Twins,5,4,1,1,,
Ninth,5,4,1,1,Middle English,
Noble,5,3,2,2,Middle English,
Hatch,5,4,1,1,Middle English,
